id,name,description,created_at,updated_at160772271,abdurrehman135/CoolDown-TO,Android app that uses your phone's location and the Toronto AC locations API to find you the nearest publicly accessible air conditioned area.,2018-12-07T04:49:40Z,2019-06-03T03:22:03Z
92817698,sergiandreplace/feign-mock,An easy way to test https://github.com/Netflix/feign. Since using feign most of the logic is store into annotations this helps to check if the annotations are right.,2017-05-30T09:35:00Z,2017-05-30T09:35:02Z
207000270,sergiandreplace/androiddatetimetextprovider,A solution for day and month formatting for languages with standalone configuration for ThreeTenBP for Android,2019-09-07T17:08:59Z,2020-03-26T18:02:43Z
58239303,sergiandreplace/DaggerWorkshopGDG,Dagger Workshop for GDG Barcelona,2016-05-06T23:03:34Z,2016-05-06T23:03:35Z
21812868,sergiandreplace/Android-FoldingLayout,A layout to switch over its children using a page folding animation,2014-07-14T08:39:21Z,2014-06-17T16:40:17Z
30523027,ctuong/Rotten-Tomatoes,None,2015-02-09T07:02:01Z,2015-02-09T07:18:15Z
30689625,ctuong/Yelp,None,2015-02-12T06:44:09Z,2015-02-19T21:09:38Z
31179203,ctuong/Twitter,None,2015-02-22T20:34:06Z,2015-03-02T04:10:51Z
31049969,ctuong/iOS-class-3-parseclient,None,2015-02-20T03:47:31Z,2015-02-20T03:51:12Z
31350044,ctuong/CodePath-Week4-Canvas,None,2015-02-26T04:07:19Z,2015-02-26T04:07:59Z
28231429,ctuong/TipCalculator,None,2014-12-19T13:57:23Z,2014-12-19T14:16:59Z
30686664,ctuong/iOS-class-4-koobecaf,None,2015-02-12T05:06:15Z,2015-02-12T05:06:33Z
155647146,ctuong/prop,Puts a cork in their requests,2018-11-01T01:53:27Z,2018-11-01T01:53:29Z
210696076,ctuong/migrate,Database migrations. CLI and Golang library.,2019-09-24T20:55:27Z,2019-09-24T20:55:29Z
157621346,ppong/beancounter,Utility to audit the balance of Hierarchical Deterministic (HD) wallets. Supports multisig + segwit wallets.,2018-11-14T22:47:21Z,2018-11-14T22:47:23Z
193303915,ppong/blockbook,:blue_book: TREZOR address/account balance backend ,2019-06-23T03:54:46Z,2019-06-23T03:54:49Z
242417391,ppong/unipdf,Golang PDF library for creating and processing PDF files (pure go),2020-02-22T21:57:33Z,2020-02-22T21:57:35Z
145346297,ppong/cleargraph,⛓ Cleargraph is a GraphQL runtime for decentralized applications,2018-08-20T00:01:20Z,2018-08-20T00:01:22Z
